freq_THz,Re_S11,Im_S11,Re_S21,Im_S21
21.666560,-5.86448456e-02,1.66669607e-01,-9.27418438e-01,-3.22359340e-01
21.689040,-5.82187724e-02,1.67024125e-01,-9.28320291e-01,-3.19634188e-01
21.711520,-5.77911280e-02,1.67377597e-01,-9.29214114e-01,-3.16906475e-01
21.734000,-5.73619149e-02,1.67730016e-01,-9.30099900e-01,-3.14176225e-01
21.756480,-5.69311355e-02,1.68081376e-01,-9.30977642e-01,-3.11443462e-01
21.778960,-5.64987923e-02,1.68431671e-01,-9.31847332e-01,-3.08708209e-01
21.801440,-5.60648876e-02,1.68780894e-01,-9.32708963e-01,-3.05970491e-01
21.823920,-5.56294240e-02,1.69129040e-01,-9.33562528e-01,-3.03230330e-01
21.846400,-5.51924041e-02,1.69476102e-01,-9.34408021e-01,-3.00487751e-01
21.868880,-5.47538304e-02,1.69822075e-01,-9.35245433e-01,-2.97742778e-01
21.891360,-5.43137054e-02,1.70166952e-01,-9.36074758e-01,-2.94995434e-01
21.913840,-5.38720318e-02,1.70510726e-01,-9.36895989e-01,-2.92245744e-01
21.936320,-5.34288121e-02,1.70853393e-01,-9.37709120e-01,-2.89493731e-01
21.958800,-5.29840490e-02,1.71194945e-01,-9.38514143e-01,-2.86739419e-01
